2025-08-20 15:47:35 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:47:40 | User: Guest | Controller: EcommerceMVC.Controllers.CartController.Add (EcommerceMVC)
2025-08-20 15:47:40 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:47:46 | User: Guest | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:47:53 | User: Guest | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:48:01 | User: admin | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:48:01 | User: admin | Controller: EcommerceMVC.Controllers.HomeController.Index (EcommerceMVC)
2025-08-20 15:48:05 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:48:09 | User: admin | Controller: EcommerceMVC.Controllers.CartController.Add (EcommerceMVC)
2025-08-20 15:48:09 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:48:12 | User: admin | Controller: EcommerceMVC.Controllers.CartController.Add (EcommerceMVC)
2025-08-20 15:48:12 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:48:17 | User: admin | Controller: EcommerceMVC.Controllers.CartController.Index (EcommerceMVC)
2025-08-20 15:48:23 | User: admin | Controller: EcommerceMVC.Controllers.BillingController.Checkout (EcommerceMVC)
2025-08-20 15:48:40 | User: admin | Controller: EcommerceMVC.Controllers.BillingController.Checkout (EcommerceMVC)
2025-08-20 15:48:42 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:48:43 | User: admin | Controller: EcommerceMVC.Controllers.HomeController.Index (EcommerceMVC)
2025-08-20 15:51:30 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:51:34 | User: Guest | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:51:41 | User: admin | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:51:41 | User: admin | Controller: EcommerceMVC.Controllers.HomeController.Index (EcommerceMVC)
2025-08-20 15:51:44 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:53:33 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:54:58 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
